Doc ID,Reception ID,CPV CODE,Notice Status,Country ISO,TOWN ISO,Project Name,Title,Notice publication number,Publication date,OJ S issue number,Town/city of the buyer,Official name of the buyer,Original language,Country of the buyer,Type of buyer,EU institution/agency,Document sent,Type of contract,Type of procedure,Notice type,Regulation,Type of bid,Award criteria,Common procurement vocabulary (CPV),Place of performance (NUTS),Internet address (URL),Legal basis,Deadline Date,latitude,longitude,Document_id_1,Publication_Date_1,Deadline_1,Document_1,Authority_Name_1,Document_id_2,Publication_Date_2,Deadline_2,Document_2,Authority_Name_2,Document_id_3,Publication_Date_3,Deadline_3,Document_3,Authority_Name_3,Document_id_4,Publication_Date_4,Deadline_4,Document_4,Authority_Name_4,Document_id_5,Publication_Date_5,Deadline_5,Document_5,Authority_Name_5,Document_id_6,Publication_Date_6,Deadline_6,Document_6,Authority_Name_6,Document_id_7,Publication_Date_7,Deadline_7,Document_7,Authority_Name_7,Document_id_8,Publication_Date_8,Deadline_8,Document_8,Authority_Name_8,Document_id_9,Publication_Date_9,Deadline_9,Document_9,Authority_Name_9,Document_id_10,Publication_Date_10,Deadline_10,Document_10,Authority_Name_10,Document_id_11,Publication_Date_11,Deadline_11,Document_11,Authority_Name_11,Document_id_12,Publication_Date_12,Deadline_12,Document_12,Authority_Name_12,Document_id_13,Publication_Date_13,Deadline_13,Document_13,Authority_Name_13,Document_id_14,Publication_Date_14,Deadline_14,Document_14,Authority_Name_14,Document_id_15,Publication_Date_15,Deadline_15,Document_15,Authority_Name_15,Document_id_16,Publication_Date_16,Deadline_16,Document_16,Authority_Name_16
525183-2021,21-543072-001,50232000,Active,Slovakia,Prešov,Maintenance services of public-lighting installations and traffic lights,Slovakia-Prešov: Maintenance services of public-lighting installations and traffic lights,525183-2021,15/10/2021,201,PREŠOV,Správa a údržba komunikácií mesta Prešov s. r. o. (31719473),SK,SK,8 - Other,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,50232000 - Maintenance services of public-lighting installations and traffic lights,SK04,www.spravaciestpresov.sk,Public procurement Directive 2014/24/EU,,48.9975724,21.2401811,483569-2021,24/09/2021,25/10/2021,3 - Contract notice,Správa a údržba komunikácií mesta Prešov s. r. o. (31719473),525183-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525182-2021,21-543238-001,72222200,Active,Slovakia,Bratislava,Information systems or technology planning services,Slovakia-Bratislava: Information systems or technology planning services,525182-2021,15/10/2021,201,BRATISLAVA,Ministerstvo spravodlivosti Slovenskej republiky (00166073),SK,SK,1 - Ministry or any other national or federal authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,72222200 - Information systems or technology planning services48811000 - E-mail system48800000 - Information systems and servers,SK01,http://www.justice.gov.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,77518-2021,15/02/2021,27/04/2021,3 - Contract notice,Ministerstvo spravodlivosti Slovenskej republiky (00166073),116376-2021,08/03/2021,07/04/2021,2 - Additional information,Ministerstvo spravodlivosti Slovenskej republiky (00166073),172127-2021,06/04/2021,19/04/2021,2 - Additional information,Ministerstvo spravodlivosti Slovenskej republiky (00166073),198278-2021,21/04/2021,27/04/2021,2 - Additional information,Ministerstvo spravodlivosti Slovenskej republiky (00166073),525182-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525174-2021,21-543175-001,72267000,Active,Slovakia,Bratislava,Software maintenance and repair services,Slovakia-Bratislava: Software maintenance and repair services,525174-2021,15/10/2021,201,BRATISLAVA,Ministerstvo obrany Slovenskej republiky – Úrad pre investície a akvizície (30845572),SK,SK,1 - Ministry or any other national or federal authority,-,12/10/2021,4 - Services,T - Negotiated procedure without a call for competition,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,72267000 - Software maintenance and repair services,SK,www.mosr.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524857-2021,21-541396-001,51200000,Active,Slovakia,Prešov,"Installation services of equipment for measuring, checking, testing and navigating","Slovakia-Prešov: Installation services of equipment for measuring, checking, testing and navigating",524857-2021,15/10/2021,201,PREŠOV,Správa a údržba ciest Prešovského samosprávneho kraja (37936859),SK,SK,8 - Other,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,"51200000 - Installation services of equipment for measuring, checking, testing and navigating",SK041,www.sucpsk.sk,Public procurement Directive 2014/24/EU,,48.9975724,21.2401811,446345-2021,03/09/2021,01/10/2021,3 - Contract notice,Správa a údržba ciest Prešovského samosprávneho kraja (37936859),524857-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524848-2021,21-538393-001,79710000,Active,Slovakia,Bratislava,Security services,Slovakia-Bratislava: Security services,524848-2021,15/10/2021,201,BRATISLAVA,"Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky (00681156)",SK,SK,1 - Ministry or any other national or federal authority,-,11/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,79714000 - Surveillance services79713000 - Guard services79711000 - Alarm-monitoring services79710000 - Security services,SK,http://www.employment.gov.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,73365-2021,12/02/2021,11/03/2021,Y - Dynamic purchasing system,"Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky (00681156)",524848-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524847-2021,21-540098-001,72000000,Active,Slovakia,Bratislava,"IT services: consulting, software development, Internet and support","Slovakia-Bratislava: IT services: consulting, software development, Internet and support",524847-2021,15/10/2021,201,BRATISLAVA,"Univerzitná nemocnica - Nemocnica svätého Michala, a.s. (44570783)",SK,SK,6 - Body governed by public law,-,11/10/2021,4 - Services,T - Negotiated procedure without a call for competition,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,"72000000 - IT services: consulting, software development, Internet and support",SK010SK042,www.nsmas.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,484622-2021,24/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524756-2021,21-538402-001,79212300,Active,Slovakia,Bratislava,Statutory audit services,Slovakia-Bratislava: Statutory audit services,524756-2021,15/10/2021,201,BRATISLAVA,NÁRODNÁ BANKA SLOVENSKA (30844789),SK,SK,6 - Body governed by public law,-,11/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,79212300 - Statutory audit services,SK,http://www.nbs.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,328630-2021,30/06/2021,10/08/2021,3 - Contract notice,Národná banka Slovenska (30844789),524756-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524754-2021,21-539337-001,79314000,Active,Slovakia,Bratislava,Feasibility study,Slovakia-Bratislava: Feasibility study,524754-2021,15/10/2021,201,BRATISLAVA,NÁRODNÁ BANKA SLOVENSKA (30844789),SK,SK,6 - Body governed by public law,-,11/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,72319000 - Data supply services72318000 - Data transmission services72317000 - Data storage services72316000 - Data analysis services79314000 - Feasibility study,SK,http://www.nbs.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,306348-2021,18/06/2021,30/08/2021,3 - Contract notice,Národná banka Slovenska (30844789),321138-2021,25/06/2021,30/07/2021,2 - Additional information,Národná banka Slovenska (30844789),389085-2021,30/07/2021,30/08/2021,2 - Additional information,Národná banka Slovenska (30844789),524754-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524426-2021,21-538294-001,60112000,Active,Slovakia,Svit,Public road transport services,Slovakia-Svit: Public road transport services,524426-2021,15/10/2021,201,SVIT,Mesto Svit (00326607),SK,SK,3 - Regional or local authority,-,10/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,60112000 - Public road transport services,SK041,https://www.svit.sk/,Public procurement Directive 2014/24/EU,10/11/2021,49.0582357,20.1965291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524425-2021,21-540814-001,72000000,Active,Slovakia,Bratislava,"IT services: consulting, software development, Internet and support","Slovakia-Bratislava: IT services: consulting, software development, Internet and support",524425-2021,15/10/2021,201,BRATISLAVA,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky (00164381)",SK,SK,1 - Ministry or any other national or federal authority,-,11/10/2021,4 - Services,2 - Restricted procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,"72413000 - World wide web (www) site design services72200000 - Software programming and consultancy services72000000 - IT services: consulting, software development, Internet and support",SK010,https://www.minedu.sk/,Public procurement Directive 2014/24/EU,15/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524021-2021,21-539950-001,72000000,Active,Slovakia,Bratislava,"IT services: consulting, software development, Internet and support","Slovakia-Bratislava: IT services: consulting, software development, Internet and support",524021-2021,15/10/2021,201,BRATISLAVA,Ministerstvo dopravy a výstavby Slovenskej republiky (30416094),SK,SK,1 - Ministry or any other national or federal authority,-,11/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,"72319000 - Data supply services70220000 - Non-residential property renting or leasing services72100000 - Hardware consultancy services72000000 - IT services: consulting, software development, Internet and support72212422 - Software development services suites72250000 - System and support services",SKSK010SK031,https://www.mindop.sk/,Public procurement Directive 2014/24/EU,12/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523882-2021,21-540120-001,72000000,Active,Slovakia,Bratislava,"IT services: consulting, software development, Internet and support","Slovakia-Bratislava: IT services: consulting, software development, Internet and support",523882-2021,15/10/2021,201,BRATISLAVA,"Univerzitná nemocnica - Nemocnica svätého Michala, a.s. (44570783)",SK,SK,6 - Body governed by public law,-,11/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,"48000000 - Software package and information systems72000000 - IT services: consulting, software development, Internet and support",SK010SK042,www.nsmas.sk,Public procurement Directive 2014/24/EU,15/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523632-2021,21-539747-001,72000000,Active,Slovakia,Bratislava,"IT services: consulting, software development, Internet and support","Slovakia-Bratislava: IT services: consulting, software development, Internet and support",523632-2021,15/10/2021,201,BRATISLAVA,Kancelária Národnej rady Slovenskej republiky (00151491),SK,SK,1 - Ministry or any other national or federal authority,-,11/10/2021,4 - Services,9 - Not applicable,0 - Prior information notice without call for competition,4 - European Union,9 - Not applicable,9 - Not applicable,"72200000 - Software programming and consultancy services72000000 - IT services: consulting, software development, Internet and support30200000 - Computer equipment and supplies72230000 - Custom software development services32300000 - Television and radio receivers, and sound or video recording or reproducing apparatus72250000 - System and support services72260000 - Software-related services",SK,https://www.nrsr.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523618-2021,21-543735-001,42990000,Active,Slovakia,Lehnice,Miscellaneous special-purpose machinery,Slovakia-Lehnice: Miscellaneous special-purpose machinery,523618-2021,15/10/2021,201,LEHNICE,"FOOD UNION, s.r.o. (48266833)",SK,SK,8 - Other,-,12/10/2021,2 - Supplies,1 - Open procedure,K - Modification of a contract/concession during its term,4 - European Union,9 - Not applicable,9 - Not applicable,42990000 - Miscellaneous special-purpose machinery,SK021,http://www.obstaram.sk,Public procurement Directive 2014/24/EU,,48.0515285,17.4576393,205852-2019,03/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523617-2021,21-543733-001,42990000,Active,Slovakia,Lehnice,Miscellaneous special-purpose machinery,Slovakia-Lehnice: Miscellaneous special-purpose machinery,523617-2021,15/10/2021,201,LEHNICE,"FOOD UNION, s.r.o. (48266833)",SK,SK,8 - Other,-,12/10/2021,2 - Supplies,1 - Open procedure,K - Modification of a contract/concession during its term,4 - European Union,9 - Not applicable,9 - Not applicable,42990000 - Miscellaneous special-purpose machinery,SK021,http://www.obstaram.sk,Public procurement Directive 2014/24/EU,,48.0515285,17.4576393,205852-2019,03/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523550-2021,21-541652-001,33700000,Active,Slovakia,Bratislava,Personal care products,Slovakia-Bratislava: Personal care products,523550-2021,15/10/2021,201,BRATISLAVA,Ministerstvo vnútra Slovenskej republiky (00151866),SK,SK,1 - Ministry or any other national or federal authority,-,12/10/2021,2 - Supplies,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,1 - Lowest price,33700000 - Personal care products24455000 - Disinfectants39800000 - Cleaning and polishing products33771000 - Sanitary paper products,SK,www.minv.sk,Public procurement Directive 2014/24/EU,25/10/2021,48.1516988,17.1093063,456568-2021,10/09/2021,25/10/2021,3 - Contract notice,Ministerstvo vnútra Slovenskej republiky (00151866),523550-2021,15/10/2021,25/10/2021,2 - Additional information,Ministerstvo vnútra Slovenskej republiky (00151866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523546-2021,21-543531-001,33100000,Active,Slovakia,Levoča,Medical equipments,Slovakia-Levoča: Medical equipments,523546-2021,15/10/2021,201,LEVOČA,Nemocnica AGEL Levoča a.s. (36594849),SK,SK,8 - Other,-,12/10/2021,2 - Supplies,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,1 - Lowest price,39113200 - Settees33111000 - X-ray devices33100000 - Medical equipments,SK,https://nemocnicalevoca.agel.sk/index.html,Public procurement Directive 2014/24/EU,03/11/2021,49.0251116,20.587999,488634-2021,28/09/2021,03/11/2021,3 - Contract notice,Nemocnica AGEL Levoča a.s. (36594849),523546-2021,15/10/2021,03/11/2021,2 - Additional information,Nemocnica AGEL Levoča a.s. (36594849),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523545-2021,21-543524-001,33111610,Active,Slovakia,Martin,Magnetic resonance unit,Slovakia-Martin: Magnetic resonance unit,523545-2021,15/10/2021,201,MARTIN,Univerzitná nemocnica Martin (00365327),SK,SK,6 - Body governed by public law,-,12/10/2021,2 - Supplies,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,1 - Lowest price,33111610 - Magnetic resonance unit33192210 - Examination tables30214000 - Workstations,SK031,www.unm.sk,Public procurement Directive 2014/24/EU,15/11/2021,49.0724921,18.929193,208029-2021,27/04/2021,15/11/2021,3 - Contract notice,Univerzitná nemocnica Martin (00365327),249392-2021,18/05/2021,14/06/2021,2 - Additional information,Univerzitná nemocnica Martin (00365327),495739-2021,01/10/2021,02/11/2021,2 - Additional information,Univerzitná nemocnica Martin (00365327),523545-2021,15/10/2021,15/11/2021,2 - Additional information,Univerzitná nemocnica Martin (00365327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523544-2021,21-543520-001,33100000,Active,Slovakia,Krompachy,Medical equipments,Slovakia-Krompachy: Medical equipments,523544-2021,15/10/2021,201,KROMPACHY,Nemocnica AGEL Krompachy s.r.o. (36182672),SK,SK,8 - Other,-,12/10/2021,2 - Supplies,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,1 - Lowest price,"33110000 - Imaging equipment for medical, dental and veterinary use39113200 - Settees33192120 - Hospital beds33100000 - Medical equipments",SK,https://nemocnicakrompachy.agel.sk/index.html,Public procurement Directive 2014/24/EU,03/11/2021,48.9144118,20.8754977,488630-2021,28/09/2021,03/11/2021,3 - Contract notice,Nemocnica AGEL Krompachy s.r.o. (36182672),523544-2021,15/10/2021,03/11/2021,2 - Additional information,Nemocnica AGEL Krompachy s.r.o. (36182672),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
