Doc ID,Reception ID,CPV CODE,Notice Status,Country ISO,TOWN ISO,Project Name,Title,Notice publication number,Publication date,OJ S issue number,Town/city of the buyer,Official name of the buyer,Original language,Country of the buyer,Type of buyer,EU institution/agency,Document sent,Type of contract,Type of procedure,Notice type,Regulation,Type of bid,Award criteria,Common procurement vocabulary (CPV),Place of performance (NUTS),Internet address (URL),Legal basis,Deadline Date,latitude,longitude,"(0, 'Document_id_1')",Publication_Date_1,Deadline_1,Document_1,Authority_Name_1,"(0, 'Document_id_2')",Publication_Date_2,Deadline_2,Document_2,Authority_Name_2,"(0, 'Document_id_3')",Publication_Date_3,Deadline_3,Description,Postal Code,Email,Amount,Currency,Og Notice No,Document_3,Authority_Name_3,"(0, 'Document_id_4')",Publication_Date_4,Deadline_4,Document_4,Authority_Name_4,"(0, 'Document_id_5')",Publication_Date_5,Deadline_5
526396-2021,21-543623-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526396-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526395-2021,21-543440-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526395-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526394-2021,21-543403-001,80500000,Active,United Kingdom,Birmingham,Training services,United Kingdom-Birmingham: Training services,526394-2021,15/10/2021,201,BIRMINGHAM,National Highways (09346363),EN,UK,N - National or federal Agency/Office,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,80500000 - Training services,UK,https://highwaysengland.co.uk/,Public procurement Directive 2014/24/EU,,52.4796992,-1.9026911,175482-2020,14/04/2020,,,,,,,,,,,,Learning & Development Managed Service Provider  for National Highways.,B1 1RN,Lauren.hopkins@highwaysengland.co.uk,20000000.00,EUR,EUR,,,,,,,,,,
526393-2021,21-541100-001,92222000,Active,United Kingdom,Edinburgh,Closed circuit television services,United Kingdom-Edinburgh: Closed circuit television services,526393-2021,15/10/2021,201,EDINBURGH,The City of Edinburgh Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,32323500 - Video-surveillance system92222000 - Closed circuit television services32412000 - Communications network32235000 - Closed-circuit surveillance system32412100 - Telecommunications network32234000 - Closed-circuit television cameras32231000 - Closed-circuit television apparatus,UKM75,http://www.edinburgh.gov.uk,Public procurement Directive 2014/24/EU,,55.9519018,-3.1904199,483795-2020,13/10/2020,,,,,,,,,,,,Upgrade of the City of Edinburgh Council's IP Video Surveillance System,EH8 8BG,lynn.hemsley@edinburgh.gov.uk,3519000,GBP,GBP,,,,,,,,,,
526392-2021,21-543165-001,79341000,Active,United Kingdom,London,Advertising services,United Kingdom-London: Advertising services,526392-2021,15/10/2021,201,LONDON,London Borough of Lambeth (n/a),EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,79341000 - Advertising services79340000 - Advertising and marketing services,UKI45,http://www.lambeth.gov.uk,Public procurement Directive 2014/24/EU,,51.5073219,-0.1276474,634279-2020,24/12/2020,28/01/2021,3 - Contract notice,London Borough of Lambeth (n/a),526392-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,
526391-2021,21-542996-001,90919300,Active,United Kingdom,Bexleyheath,School cleaning services,United Kingdom-Bexleyheath: School cleaning services,526391-2021,15/10/2021,201,BEXLEYHEATH,Odyssey Trust For Education (07844587),EN,UK,6 - Body governed by public law,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,90919300 - School cleaning services,UKI51,http://odysseytrust.org.uk/,Public procurement Directive 2014/24/EU,,51.4634854,0.1480552,539055-2020,10/11/2020,07/12/2020,3 - Contract notice,Odyssey Trust For Education (07844587),526391-2021,15/10/2021,,,,,,,"Odyssey Trust for Education is a multi-academy trust comprising 2 secondary schools in Bexley, South East London.The Contract period will be for 3 years initially with the option to extend for two further one year periods. The services are to be provided at the following addresses:Townley Grammar School, Townley Road, Bexleyheath, DA6 7ABKing Henry School, Avenue Road, Erith, DA8 3BNThe current cleaning provision is outsourced at King Henry, and inhouse at Townley Grammar, so LGPS is likely but will be confirmed at the ITT stage.",DA6 7AB,Alia.Trevanion@schoolsbuyingclub.com,3725000,GBP,GBP,,,,,,,,,,
526390-2021,21-542493-001,85322000,Active,United Kingdom,Doncaster,Community action programme,United Kingdom-Doncaster: Community action programme,526390-2021,15/10/2021,201,DONCASTER,Doncaster MBC,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,85322000 - Community action programme,UKE31,http://www.doncaster.gov.uk/,Public procurement Directive 2014/24/EU,,53.5227681,-1.1335312,78694-2020,17/02/2020,27/03/2020,3 - Contract notice,Doncaster MBC,91235-2020,24/02/2020,17/03/2020,2 - Additional information,Doncaster MBC,127359-2020,16/03/2020,27/03/2020,Supporting new and existing social enterprise as part of the inclusive growth strategy,DN1 3BU,Lewis.Lindley@doncaster.gov.uk,150000,GBP,GBP,2 - Additional information,Doncaster MBC,526390-2021,15/10/2021,,,,,,
526389-2021,21-541993-001,60000000,Active,United Kingdom,Exeter,Transport services (excl. Waste transport),United Kingdom-Exeter: Transport services (excl. Waste transport),526389-2021,15/10/2021,201,EXETER,Devon County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,60000000 - Transport services (excl. Waste transport),UKK4,http://www.devon.gov.uk,Public procurement Directive 2014/24/EU,,50.7255794,-3.5269497,418275-2015,27/11/2015,21/01/2016,Y - Dynamic purchasing system,Devon County Council,216785-2016,25/06/2016,01/04/2022,2 - Additional information,Devon County Council,249281-2016,19/07/2016,,,,,,,,,,,,,,,,,
526388-2021,21-540569-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526388-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526387-2021,21-540230-001,79415200,Active,United Kingdom,Glasgow,Design consultancy services,United Kingdom-Glasgow: Design consultancy services,526387-2021,15/10/2021,201,GLASGOW,University of Glasgow,EN,UK,6 - Body governed by public law,-,11/10/2021,4 - Services,B - Competitive procedure with negotiation,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,71500000 - Construction-related services71541000 - Construction project management services79415200 - Design consultancy services,UKM82,http://www.gla.ac.uk/,Public procurement Directive 2014/24/EU,,55.8609825,-4.2488787,541870-2020,11/11/2020,10/12/2020,3 - Contract notice,University of Glasgow,526387-2021,15/10/2021,,,,,,,PURCH1852 Lead Advisor Framework Agreement,G12 8QQ,Josephine.Gallagher@glasgow.ac.uk,17200000,GBP,GBP,,,,,,,,,,
526386-2021,21-539763-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526386-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526385-2021,21-539706-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526385-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526384-2021,21-539599-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526384-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526383-2021,21-539301-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526383-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526382-2021,21-538707-001,63712700,Active,United Kingdom,Kirkintilloch,Traffic control services,United Kingdom-Kirkintilloch: Traffic control services,526382-2021,15/10/2021,201,KIRKINTILLOCH,East Dunbartonshire Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,63712700 - Traffic control services,UKM81,http://www.eastdunbarton.gov.uk,Public procurement Directive 2014/24/EU,,55.9383914,-4.1549049,615602-2020,18/12/2020,25/01/2021,3 - Contract notice,East Dunbartonshire Council,526382-2021,15/10/2021,,,,,,,"East Dunbartonshire Council requires a suitably experienced and qualified Contractor to provide Traffic Management Services to support its Capital Investment / Maintenance Programmes of work on an ad-hoc basis when internal resources are unable to do so. This service will include design and provision of signs, lighting, traffic lights, pedestrian lights, walkways, cones, plus barriers and fencing for Specialist Town Centre Events and any other works. Plus the installation, maintenance, adjustment/relocation and removal of equipment.",G66 1TJ,robert.gilmour@eastdunbarton.gov.uk,1000000,GBP,GBP,,,,,,,,,,
526380-2021,21-542045-001,48813000,Active,United Kingdom,Belfast,Passenger information system,United Kingdom-Belfast: Passenger information system,526380-2021,15/10/2021,201,BELFAST,Department for Infrastructure (NI),EN,UK,1 - Ministry or any other national or federal authority,-,12/10/2021,4 - Services,1 - Open procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,48813000 - Passenger information system48813200 - Real-time passenger information system,UKN0,https://www.infrastructure-ni.gov.uk/,Public procurement Directive 2014/24/EU,,54.5964411,-5.9302761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526379-2021,21-543622-001,18813000,Active,United Kingdom,Pontypridd,Footwear with uppers of leather,United Kingdom-Pontypridd: Footwear with uppers of leather,526379-2021,15/10/2021,201,PONTYPRIDD,Leidos Supply Ltd,EN,UK,6 - Body governed by public law,-,12/10/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,18813000 - Footwear with uppers of leather,UKUKK1,www.leidos.com/uk,Public procurement Directive 2014/24/EU,,51.6001047,-3.3449362,563750-2019,28/11/2019,09/01/2020,3 - Contract notice,Leidos Supply,526379-2021,15/10/2021,,,,,,,Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the ‘Prime Contract’). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together ‘Team Leidos’). This requirement is subject to the Supply of Dress and Service Footwear and respective advertising action.,CF374PU,olivia.carroll@leidos.com,18000000.00,GBP,GBP,,,,,,,,,,
526377-2021,21-540540-001,38511000,Active,United Kingdom,Cardiff,Electron microscopes,United Kingdom-Cardiff: Electron microscopes,526377-2021,15/10/2021,201,CARDIFF,Cardiff University,EN,UK,6 - Body governed by public law,-,11/10/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,38511000 - Electron microscopes,UKL22,http://www.cardiff.ac.uk/business/why-work-with-us/for-suppliers,Public procurement Directive 2014/24/EU,11/11/2021,51.4816546,-3.1791934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526376-2021,21-539842-001,45000000,Active,United Kingdom,Coventry,Construction work,United Kingdom-Coventry: Construction work,526376-2021,15/10/2021,201,COVENTRY,COV- 8524 President Kennedy School 6th Form Building,EN,UK,3 - Regional or local authority,-,11/10/2021,1 - Works,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,45000000 - Construction work,UKG33,www.csw-jets.co.uk,Public procurement Directive 2014/24/EU,,52.4081812,-1.510477,550899-2019,21/11/2019,23/12/2019,3 - Contract notice,COV- 8524 President Kennedy School 6th Form Building,526376-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,
526375-2021,21-541794-001,45342000,Active,United Kingdom,Musselburgh,Erection of fencing,United Kingdom-Musselburgh: Erection of fencing,526375-2021,15/10/2021,201,MUSSELBURGH,Archaeology Scotland,EN,UK,8 - Other,-,12/10/2021,1 - Works,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,45342000 - Erection of fencing,UKM6,www.archaeologyscotland.org.uk,Public procurement Directive 2014/24/EU,12/11/2021,55.9421202,-3.0538516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526374-2021,21-543133-001,73000000,Active,United Kingdom,Reading,Research and development services and related consultancy services,United Kingdom-Reading: Research and development services and related consultancy services,526374-2021,15/10/2021,201,READING,European Centre for Medium-Range Weather Forecasts (ECMWF),EN,UK,5 - European Institution/Agency or International Organisation,-,12/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,73000000 - Research and development services and related consultancy services,UK,https://www.ecmwf.int/,Public procurement Directive 2014/24/EU,23/11/2021,51.456659,-0.9696512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520697-2021,21-537021-001,80000000,Active,United Kingdom,Wolverhampton,Education and training services,United Kingdom-Wolverhampton: Education and training services,520697-2021,13/10/2021,199,WOLVERHAMPTON,Wolverhampton City Council,EN,UK,3 - Regional or local authority,-,08/10/2021,4 - Services,1 - Open procedure,2 - Additional information,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,80000000 - Education and training services,UKG,http://www.wolverhampton.gov.uk,Public procurement Directive 2014/24/EU,09/11/2021,52.5847651,-2.127567,252567-2020,29/05/2020,09/11/2021,3 - Contract notice,Wolverhampton City Council,520697-2021,13/10/2021,09/11/2021,2 - Additional information,Wolverhampton City Council,,,,,,,,,,,,,,,,,,,
520696-2021,21-537841-001,72212480,Active,United Kingdom,Birmingham,"Sales, marketing and business intelligence software development services","United Kingdom-Birmingham: Sales, marketing and business intelligence software development services",520696-2021,13/10/2021,199,BIRMINGHAM,West Midlands Growth Company Ltd,EN,UK,6 - Body governed by public law,-,08/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"79342000 - Marketing services72212480 - Sales, marketing and business intelligence software development services79413000 - Marketing management consultancy services",UKG31,www.wmgrowth.com,Public procurement Directive 2014/24/EU,,52.4796992,-1.9026911,586943-2020,04/12/2020,04/01/2021,3 - Contract notice,West Midlands Growth Company Ltd,520696-2021,13/10/2021,,,,,,,,,,,,,,,,,,,,,,
520694-2021,21-536667-001,60120000,Active,United Kingdom,Carmarthen,Taxi services,United Kingdom-Carmarthen: Taxi services,520694-2021,13/10/2021,199,CARMARTHEN,Carmarthenshire County Council,EN,UK,3 - Regional or local authority,-,08/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,60112000 - Public road transport services60120000 - Taxi services,UKL14,www.carmarthenshire.gov.uk,Public procurement Directive 2014/24/EU,,51.8591257,-4.3115907,46111-2018,01/02/2018,,,,,,,,,,,,"*****This is a Contract Award Notice for DPS Bus and Taxi Services**********This is NOT an Invitation to Tender**********This Contract Award Notice covers the period of 1st July - 30th September 2021*****Carmarthenshire County Council, Pembrokeshire County Council and Pembrokeshire College invite you to submit an application to join the DPS to provide Bus and Taxi Services throughout Pembrokeshire and Carmarthenshire.If you have previously registered for this via the recent PQQ reference 32456 and had your application approved please ignore this notice.Only new applicants and those who failed the initial PQQ assessment should apply.",SA31 1JP,SLJohn@carmarthenshire.gov.uk,17279787.40,GBP,GBP,,,,,,,,,,
520693-2021,21-537585-001,80000000,Active,United Kingdom,Cardiff,Education and training services,United Kingdom-Cardiff: Education and training services,520693-2021,13/10/2021,199,CARDIFF,Welsh Government,EN,UK,1 - Ministry or any other national or federal authority,-,08/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,80400000 - Adult and other education services80100000 - Primary education services80000000 - Education and training services80110000 - Pre-school education services,UKL1UKL2,http://gov.wales,Public procurement Directive 2014/24/EU,11/11/2021,51.4816546,-3.1791934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520692-2021,21-537552-001,79340000,Active,United Kingdom,Aberystwyth,Advertising and marketing services,United Kingdom-Aberystwyth: Advertising and marketing services,520692-2021,13/10/2021,199,ABERYSTWYTH,Hybu Cig Cymru-Meat Promotion Wales,EN,UK,1 - Ministry or any other national or federal authority,-,08/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,79342000 - Marketing services79341000 - Advertising services79340000 - Advertising and marketing services,UKL1,www.hybucig.cymru,Public procurement Directive 2014/24/EU,08/11/2021,52.4143113,-4.0816846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520691-2021,21-536356-001,71221000,Active,United Kingdom,Leeds,Architectural services for buildings,United Kingdom-Leeds: Architectural services for buildings,520691-2021,13/10/2021,199,LEEDS,MAP Charity,EN,UK,6 - Body governed by public law,-,08/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,71221000 - Architectural services for buildings,UKE42,www.mapcharity.org,Public procurement Directive 2014/24/EU,22/10/2021,53.7974185,-1.5437941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
